ΔMSE,ΔC
8e-06,0.000123
-2.9e-05,0.000154
0.0,0.000157
-5.1e-05,5.9e-05
0.0005,3.9e-05
0.000394,-7.9e-05
9.8e-05,4.1e-05
0.000207,-8.2e-05
0.000429,-0.0
0.000171,2e-05
0.000231,2.7e-05
6.8e-05,9.2e-05
0.000175,0.000118
0.000325,2e-05
9.7e-05,8e-05
0.000273,0.000138
0.000325,2e-05
0.000372,5.5e-05
0.000199,-3.1e-05
0.000158,4.1e-05
0.000104,2e-05
0.000372,5.5e-05
0.000139,-3e-05
0.000683,-0.000154
0.000234,0.000109
0.000273,0.000138
0.000296,4.1e-05
0.000605,3.1e-05
0.00015,2.7e-05
0.000157,-3.9e-05
0.000264,-1e-05
0.000372,5.5e-05
0.000109,7.9e-05
0.000212,3.1e-05
8.2e-05,-3.1e-05
0.000157,-3.9e-05
6.9e-05,-2e-05
-2.7e-05,0.000136
0.000231,2.7e-05
0.00029,-0.000123
